Organism,Seq,Positions,,,,,
Pseudo,1027,0-51,107-175,401-580,,,
Pseudo,1028,98-137,257-327,337-407,413-515,,
Pseudo,1029,491-556,,,,,
Pseudo,1030,94-163,437-534,,,,
Pseudo,1031,362-443,,,,,
Pseudo,1032,292-429,,,,,
Pseudo,1033,188-240,245-329,521-592,,,
Pseudo,1034,180-257,,,,,
Pseudo,1035,241-323,,,,,
Pseudo,1036,241-307,426-487,,,,
Pseudo,1037,278-325,412-475,,,,
Pseudo,1038,340-389,,,,,
Pseudo,1039,311-464,,,,,
Pseudo,1040,41-95,174-324,352-465,473-513,,
Pseudo,1041,438-574,,,,,
Pseudo,1042,484-586,,,,,
Pseudo,1043,550-596,,,,,
Pseudo,1044,393-484,,,,,
Pseudo,1045,385-501,,,,,
Pseudo,1046,162-219,,,,,
Pseudo,1047,439-511,,,,,
Pseudo,1048,415-607,,,,,
Pseudo,1049,381-459,,,,,
Pseudo,1050,334-391,,,,,
Pseudo,1051,283-328,,,,,
Pseudo,1052,141-196,,,,,
Pseudo,1053,46-111,374-474,,,,
Pseudo,1054,178-222,,,,,
Pseudo,1055,77-133,417-537,,,,
Pseudo,1056,204-309,337-416,,,,
Pseudo,1057,268-340,414-465,,,,
Pseudo,1058,552-613,,,,,
Pseudo,1059,,,,,,
Pseudo,1060,325-434,474-526,,,,
Pseudo,1061,79-117,571-613,,,,
Pseudo,1062,445-505,,,,,
Pseudo,1063,361-475,,,,,
Pseudo,1064,406-478,,,,,
Pseudo,1065,403-474,,,,,
Pseudo,1066,287-356,,,,,
Pseudo,1067,0-47,329-371,410-520,526-573,,
Pseudo,1068,68-108,147-190,390-483,,,
Pseudo,1069,392-489,,,,,
Pseudo,1070,,,,,,
Pseudo,1071,493-555,,,,,
Pseudo,1072,356-409,,,,,
Pseudo,1073,251-302,551-600,,,,
Pseudo,1074,16-53,159-237,,,,
Pseudo,1075,370-448,475-596,,,,
Pseudo,1076,224-270,329-416,,,,
Pseudo,1077,333-374,533-609,,,,
Pseudo,1078,441-613,,,,,
Pseudo,1079,320-613,,,,,
Pseudo,1080,346-422,,,,,
Pseudo,1081,45-152,,,,,
Pseudo,1082,0-57,,,,,
Pseudo,1083,358-465,,,,,
Pseudo,1084,318-458,,,,,
Pseudo,1085,398-496,528-598,,,,
Pseudo,1086,25-99,,,,,
Pseudo,1087,347-384,392-441,483-523,,,
Pseudo,1088,390-486,,,,,
Pseudo,1089,386-482,,,,,
Pseudo,1090,331-432,,,,,
Pseudo,1091,515-613,,,,,
Pseudo,1092,564-613,,,,,
Pseudo,1093,10-47,136-199,408-518,,,
Pseudo,1094,185-221,316-412,432-510,,,
Pseudo,1095,368-447,475-574,,,,
Pseudo,1096,498-559,,,,,
Pseudo,1097,409-472,,,,,
Pseudo,1098,218-322,423-490,,,,
Pseudo,1099,351-485,,,,,
Pseudo,1100,46-120,530-613,,,,
Pseudo,1101,441-481,542-588,,,,
Pseudo,1102,571-613,,,,,
Pseudo,1103,346-447,,,,,
Pseudo,1104,359-462,,,,,
Pseudo,1105,23-72,109-177,253-445,,,
Pseudo,1106,435-471,573-613,,,,
Pseudo,1107,353-584,,,,,
Pseudo,1108,71-449,510-551,556-600,,,
Pseudo,1109,365-427,479-571,,,,
Pseudo,1110,,,,,,
Pseudo,1111,0-54,388-465,,,,
Pseudo,1112,169-247,379-450,,,,
Pseudo,1113,401-472,,,,,
Pseudo,1114,353-455,,,,,
Pseudo,1115,356-494,,,,,
Pseudo,1116,263-354,,,,,
Pseudo,1117,383-490,,,,,
Pseudo,1118,422-540,,,,,
Pseudo,1119,,,,,,
Pseudo,1120,347-471,,,,,
Pseudo,1121,384-497,,,,,
Pseudo,1122,415-525,,,,,
Pseudo,1123,445-590,,,,,
Pseudo,1124,191-311,393-472,,,,
Pseudo,1125,33-81,361-428,,,,
Pseudo,1126,189-297,431-533,,,,
Pseudo,1127,378-505,,,,,
Pseudo,1128,330-378,,,,,
Pseudo,1129,320-362,419-598,,,,
Pseudo,1130,159-196,378-557,,,,
Pseudo,1131,225-408,439-498,,,,
Pseudo,1132,346-469,,,,,
Pseudo,1133,479-570,,,,,
Pseudo,1134,277-344,,,,,
Pseudo,1135,,,,,,
Pseudo,1136,120-164,378-521,,,,
Pseudo,1137,274-507,,,,,
Pseudo,1138,,,,,,
Pseudo,1139,0-41,295-483,,,,
Pseudo,1140,68-239,305-372,444-539,,,
Pseudo,1141,137-211,282-340,,,,
Pseudo,1142,42-109,248-341,,,,
Pseudo,1143,259-457,,,,,
Pseudo,1144,316-379,,,,,
Pseudo,1145,405-469,,,,,
Pseudo,1146,353-430,,,,,
Pseudo,1147,189-254,355-490,,,,
Pseudo,1148,142-229,,,,,
Pseudo,1149,380-439,,,,,
Pseudo,1150,296-404,,,,,
Pseudo,1151,297-480,,,,,
Pseudo,1152,224-280,,,,,
Pseudo,1153,101-240,430-467,,,,
Pseudo,1154,433-480,,,,,
Pseudo,1155,233-327,363-415,,,,
Pseudo,1156,456-522,527-604,,,,
Pseudo,1157,,,,,,
Pseudo,1158,,,,,,
Pseudo,1159,400-464,,,,,
Pseudo,1160,414-500,,,,,
Pseudo,1161,,,,,,
Pseudo,1162,,,,,,
Pseudo,1163,371-469,,,,,
Pseudo,1164,,,,,,
Pseudo,1165,246-298,505-557,,,,
Pseudo,1166,,,,,,
Pseudo,1167,329-451,,,,,
Pseudo,1168,301-441,506-543,,,,
Pseudo,1169,364-406,432-570,,,,
Pseudo,1170,332-468,,,,,
Pseudo,1171,361-478,,,,,
Pseudo,1172,62-172,383-564,,,,
Pseudo,1173,204-269,337-463,468-555,,,
Pseudo,1174,56-121,387-536,,,,
Pseudo,1175,299-347,386-475,,,,
Pseudo,1176,420-547,,,,,
Pseudo,1177,423-480,,,,,
Pseudo,1178,443-603,,,,,
Pseudo,1179,313-473,,,,,
Pseudo,1180,402-541,563-613,,,,
Pseudo,1181,393-475,,,,,
Pseudo,1182,234-299,,,,,
Pseudo,1183,292-370,,,,,
Pseudo,1184,311-474,,,,,
Pseudo,1185,405-472,,,,,
Pseudo,1186,373-446,,,,,
Pseudo,1187,363-512,,,,,
Pseudo,1188,414-498,,,,,
Pseudo,1189,384-514,,,,,
Pseudo,1190,295-392,478-531,537-613,,,
Pseudo,1191,101-154,514-597,,,,
Pseudo,1192,155-218,474-549,,,,
Pseudo,1193,395-495,,,,,
Pseudo,1194,70-155,201-277,,,,
Pseudo,1195,380-476,,,,,
Pseudo,1196,525-613,,,,,
Pseudo,1197,,,,,,
Pseudo,1198,307-478,556-592,,,,
Pseudo,1199,452-566,,,,,
Pseudo,1200,297-348,370-416,,,,
Pseudo,1201,418-496,,,,,
Pseudo,1202,142-278,411-489,,,,
Pseudo,1203,361-492,,,,,
Pseudo,1204,,,,,,
Pseudo,1205,246-474,,,,,
Pseudo,1206,115-172,363-519,,,,
Pseudo,1207,411-454,,,,,
Pseudo,1208,369-465,,,,,
Pseudo,1209,368-486,,,,,
Pseudo,1210,166-349,361-501,,,,
Pseudo,1211,456-515,,,,,
Pseudo,1212,203-240,507-545,,,,
Pseudo,1213,132-170,,,,,
Pseudo,1214,354-510,,,,,
Pseudo,1215,339-450,,,,,
Pseudo,1216,166-202,405-568,,,,
Pseudo,1217,336-418,427-472,,,,
Pseudo,1218,73-135,,,,,
Pseudo,1219,386-595,,,,,
Pseudo,1220,177-235,,,,,
Pseudo,1221,312-383,390-481,,,,
Pseudo,1222,409-505,,,,,
Pseudo,1223,425-507,,,,,
Pseudo,1224,152-193,,,,,
Pseudo,1225,317-443,,,,,
Pseudo,1226,301-378,,,,,
Pseudo,1227,,,,,,
Pseudo,1228,423-466,,,,,
Pseudo,1229,268-331,425-498,505-586,,,
Pseudo,1230,338-499,527-598,,,,
Pseudo,1231,346-444,,,,,
Pseudo,1232,201-266,,,,,
Pseudo,1233,29-102,534-605,,,,
Pseudo,1234,443-559,,,,,
Pseudo,1235,360-481,,,,,
Pseudo,1236,411-530,542-613,,,,
Pseudo,1237,491-555,,,,,
Pseudo,1238,430-500,,,,,
Pseudo,1239,,,,,,
Pseudo,1240,,,,,,
Pseudo,1241,95-137,212-269,302-443,,,
Pseudo,1242,419-487,,,,,
Pseudo,1243,228-284,,,,,
Pseudo,1244,478-562,,,,,
Pseudo,1245,191-244,260-344,,,,
Pseudo,1246,407-507,,,,,
Pseudo,1247,,,,,,
Pseudo,1248,0-49,336-405,,,,
Pseudo,1249,0-74,343-381,391-438,,,
Pseudo,1250,388-428,443-563,,,,
Pseudo,1251,238-279,,,,,
Pseudo,1252,403-531,,,,,
Pseudo,1253,401-524,,,,,
Pseudo,1254,176-265,385-447,,,,
Pseudo,1255,28-86,440-489,,,,
Pseudo,1256,355-469,,,,,
Pseudo,1257,423-514,,,,,
Pseudo,1258,17-114,,,,,
Pseudo,1259,385-496,,,,,
Pseudo,1260,0-57,189-225,454-543,,,
Pseudo,1261,4-68,397-441,,,,
Pseudo,1262,324-383,518-581,,,,
Pseudo,1263,0-75,80-117,390-461,,,
Pseudo,1264,361-489,,,,,
Pseudo,1265,230-293,383-542,,,,
Pseudo,1266,351-475,,,,,
Pseudo,1267,384-518,,,,,
Pseudo,1268,341-441,,,,,
Pseudo,1269,366-501,,,,,
Pseudo,1270,376-474,,,,,
Pseudo,1271,17-61,340-470,,,,
Pseudo,1272,272-460,,,,,
Pseudo,1273,208-487,,,,,
Pseudo,1274,194-261,516-613,,,,
Pseudo,1275,409-457,461-517,,,,
Pseudo,1276,,,,,,
Pseudo,1277,149-195,249-341,427-555,,,
Pseudo,1278,470-556,,,,,
Pseudo,1279,108-157,396-470,489-548,,,
Pseudo,1280,0-51,125-187,466-540,,,
Pseudo,1281,394-445,536-613,,,,
Pseudo,1282,571-613,,,,,
Pseudo,1283,276-448,,,,,
Pseudo,1284,,,,,,
Pseudo,1285,339-409,522-592,,,,
Pseudo,1286,42-140,256-301,455-501,,,
Pseudo,1287,228-384,390-466,,,,
Pseudo,1288,308-363,,,,,
Pseudo,1289,129-199,,,,,
Pseudo,1290,355-440,,,,,
Pseudo,1291,148-214,301-506,,,,
Pseudo,1292,24-75,,,,,
Pseudo,1293,293-344,403-521,,,,
Pseudo,1294,121-195,357-402,,,,
Pseudo,1295,2-68,370-419,,,,
Pseudo,1296,395-465,,,,,
Pseudo,1297,,,,,,
Pseudo,1298,384-563,,,,,
Pseudo,1299,355-475,,,,,
Pseudo,1300,,,,,,
Pseudo,1301,431-474,,,,,
Pseudo,1302,150-192,532-603,,,,
Pseudo,1303,342-513,,,,,
Pseudo,1304,,,,,,
Pseudo,1305,394-460,514-579,,,,
Pseudo,1306,336-423,465-507,546-602,,,
Pseudo,1307,375-453,503-572,,,,
Pseudo,1308,286-345,,,,,
Pseudo,1309,415-452,537-594,,,,
Pseudo,1310,310-363,471-609,,,,
Pseudo,1311,348-478,,,,,
Pseudo,1312,342-434,,,,,
Pseudo,1313,218-287,442-501,,,,
Pseudo,1314,417-583,,,,,
Pseudo,1315,13-50,402-462,,,,
Pseudo,1316,469-551,,,,,
Pseudo,1317,,,,,,
Pseudo,1318,260-298,399-440,,,,
Pseudo,1319,429-525,,,,,
Pseudo,1320,58-164,222-310,,,,
Pseudo,1321,119-178,240-389,446-539,,,
Pseudo,1322,242-290,,,,,
Pseudo,1323,378-551,,,,,
Pseudo,1324,299-416,422-486,,,,
Pseudo,1325,258-345,526-602,,,,
Pseudo,1326,348-546,,,,,
Pseudo,1327,361-612,,,,,
Pseudo,1328,133-235,361-460,,,,
Pseudo,1329,,,,,,
Pseudo,1330,367-497,,,,,
Pseudo,1331,0-112,255-339,422-485,515-597,,
Pseudo,1332,299-497,,,,,
Pseudo,1333,385-593,,,,,
Pseudo,1334,0-96,442-533,,,,
Pseudo,1335,420-484,,,,,
Pseudo,1336,363-423,469-548,,,,
Pseudo,1337,365-497,,,,,
Pseudo,1338,407-513,,,,,
Pseudo,1339,294-348,354-525,,,,
Pseudo,1340,,,,,,
Pseudo,1341,276-508,,,,,
Pseudo,1342,220-375,408-472,,,,
Pseudo,1343,26-82,421-546,,,,
Pseudo,1344,347-435,,,,,
Pseudo,1345,413-510,,,,,
Pseudo,1346,425-489,,,,,
Pseudo,1347,,,,,,
Pseudo,1348,289-383,,,,,
Pseudo,1349,79-219,283-477,513-570,,,
Pseudo,1350,469-577,,,,,
Pseudo,1351,221-330,409-488,,,,
Pseudo,1352,366-426,,,,,
Pseudo,1353,316-354,,,,,
Pseudo,1354,381-479,,,,,
Pseudo,1355,356-508,,,,,
Pseudo,1356,386-485,,,,,
Pseudo,1357,,,,,,
Pseudo,1358,0-57,98-152,369-546,,,
Pseudo,1359,380-488,496-578,,,,
Pseudo,1360,,,,,,
Pseudo,1361,436-489,,,,,
Pseudo,1362,76-142,359-466,,,,
Pseudo,1363,115-152,424-507,,,,
Pseudo,1364,393-488,,,,,
Pseudo,1365,387-514,,,,,
Pseudo,1366,117-187,252-381,,,,
Pseudo,1367,398-450,,,,,
Pseudo,1368,411-489,,,,,
Pseudo,1369,,,,,,
Pseudo,1370,185-358,,,,,
Pseudo,1371,550-598,,,,,
Pseudo,1372,364-480,,,,,
Pseudo,1373,261-328,,,,,
Pseudo,1374,300-375,416-492,,,,
Pseudo,1375,544-613,,,,,
Pseudo,1376,53-137,232-292,351-482,,,
Pseudo,1377,,,,,,
Pseudo,1378,251-344,,,,,
Pseudo,1379,428-524,,,,,
Pseudo,1380,144-222,284-335,400-465,,,
Pseudo,1381,474-542,,,,,
Pseudo,1382,299-602,,,,,
Pseudo,1383,435-481,,,,,
Pseudo,1384,390-498,,,,,
Pseudo,1385,379-430,,,,,
Pseudo,1386,395-467,,,,,
Pseudo,1387,164-214,218-320,422-503,,,
Pseudo,1388,147-190,568-613,,,,
Pseudo,1389,339-454,,,,,
Pseudo,1390,462-613,,,,,
Pseudo,1391,386-491,,,,,
Pseudo,1392,371-447,,,,,
Pseudo,1393,385-474,,,,,
Pseudo,1394,213-359,,,,,
Pseudo,1395,330-468,,,,,
Pseudo,1396,363-481,486-613,,,,
Pseudo,1397,350-508,,,,,
Pseudo,1398,260-311,389-440,,,,
Pseudo,1399,346-482,,,,,
Pseudo,1400,68-213,,,,,
Pseudo,1401,0-58,498-573,,,,
Pseudo,1402,379-465,546-613,,,,
Pseudo,1403,94-131,138-193,344-390,,,
Pseudo,1404,321-430,,,,,
Pseudo,1405,366-446,,,,,
Pseudo,1406,325-434,,,,,
Pseudo,1407,396-551,,,,,
Pseudo,1408,412-484,488-542,,,,
Pseudo,1409,248-329,403-457,,,,
Pseudo,1410,351-479,,,,,
Pseudo,1411,158-231,,,,,
Pseudo,1412,371-452,,,,,
Pseudo,1413,384-507,,,,,
Pseudo,1414,407-485,,,,,
Pseudo,1415,,,,,,
Pseudo,1416,375-483,,,,,
Pseudo,1417,305-441,,,,,
Pseudo,1418,381-458,,,,,
Pseudo,1419,156-240,,,,,
Pseudo,1420,346-427,,,,,
Pseudo,1421,373-504,,,,,
Pseudo,1422,494-581,,,,,
Pseudo,1423,32-73,385-448,,,,
Pseudo,1424,412-475,,,,,
Pseudo,1425,232-566,,,,,
Pseudo,1426,135-178,483-591,,,,
Pseudo,1427,308-358,373-544,,,,
Pseudo,1428,432-495,566-613,,,,
Pseudo,1429,354-485,,,,,
Pseudo,1430,373-507,,,,,
Pseudo,1431,345-412,,,,,
Pseudo,1432,513-595,,,,,
Pseudo,1433,237-438,,,,,
Pseudo,1434,358-412,511-569,,,,
Pseudo,1435,59-115,423-613,,,,
Pseudo,1436,166-217,230-362,,,,
Pseudo,1437,429-485,,,,,
Pseudo,1438,361-463,,,,,
Pseudo,1439,477-599,,,,,
Pseudo,1440,294-384,,,,,
Pseudo,1441,0-73,452-513,,,,
Pseudo,1442,277-356,477-516,,,,
Pseudo,1443,282-392,419-477,,,,
Pseudo,1444,384-434,,,,,
Pseudo,1445,466-522,,,,,
Pseudo,1446,,,,,,
Pseudo,1447,364-449,,,,,
Pseudo,1448,185-237,370-521,,,,
Pseudo,1449,407-465,,,,,
Pseudo,1450,377-480,545-613,,,,
Pseudo,1451,455-502,,,,,
Pseudo,1452,241-282,319-454,,,,
Pseudo,1453,0-51,264-437,453-522,,,
Pseudo,1454,294-553,,,,,
Pseudo,1455,5-85,359-527,,,,
Pseudo,1456,425-491,,,,,
Pseudo,1457,212-294,359-473,,,,
Pseudo,1458,321-363,446-538,564-613,,,
Pseudo,1459,333-438,471-564,,,,
Pseudo,1460,552-613,,,,,
Pseudo,1461,359-489,,,,,
Pseudo,1462,322-401,465-506,,,,
Pseudo,1463,373-451,,,,,
Pseudo,1464,515-605,,,,,
Pseudo,1465,149-221,507-562,,,,
Pseudo,1466,155-203,210-302,370-425,462-539,,
Pseudo,1467,409-488,,,,,
Pseudo,1468,365-446,,,,,
Pseudo,1469,245-372,398-479,508-613,,,
Pseudo,1470,351-411,,,,,
Pseudo,1471,433-501,,,,,
Pseudo,1472,339-474,,,,,
Pseudo,1473,500-573,,,,,
Pseudo,1474,498-587,,,,,
Pseudo,1475,204-244,421-482,,,,
Pseudo,1476,,,,,,
Pseudo,1477,347-428,,,,,
Pseudo,1478,464-605,,,,,
Pseudo,1479,99-161,360-433,485-613,,,
Pseudo,1480,314-407,411-534,,,,
Pseudo,1481,461-504,,,,,
Pseudo,1482,372-452,543-605,,,,
Pseudo,1483,279-347,,,,,
Pseudo,1484,356-501,,,,,
Pseudo,1485,,,,,,
Pseudo,1486,386-429,436-600,,,,
Pseudo,1487,548-613,,,,,
Pseudo,1488,563-613,,,,,
Pseudo,1489,465-529,,,,,
Pseudo,1490,371-508,,,,,
Pseudo,1491,181-236,243-279,341-429,538-613,,
Pseudo,1492,495-579,,,,,
Pseudo,1493,311-386,,,,,
Pseudo,1494,238-315,387-507,,,,
Pseudo,1495,295-365,428-525,,,,
Pseudo,1496,387-439,476-514,,,,
Pseudo,1497,384-613,,,,,
Pseudo,1498,202-270,315-371,425-484,,,
Pseudo,1499,35-108,428-485,,,,
Pseudo,1500,435-488,,,,,
Pseudo,1501,83-168,438-486,523-590,,,
Pseudo,1502,392-463,494-572,,,,
Pseudo,1503,267-360,435-485,,,,
Pseudo,1504,111-179,249-345,,,,
Pseudo,1505,196-301,371-443,,,,
Pseudo,1506,98-141,374-449,,,,
Pseudo,1507,566-613,,,,,
Pseudo,1508,354-514,528-574,,,,
Pseudo,1509,89-166,546-613,,,,
Pseudo,1510,401-449,,,,,
Pseudo,1511,119-191,273-348,443-531,,,
Pseudo,1512,88-172,338-376,427-484,,,
Pseudo,1513,23-71,,,,,
Pseudo,1514,377-461,,,,,
Pseudo,1515,336-389,413-473,569-613,,,
Pseudo,1516,331-464,,,,,
Pseudo,1517,286-406,,,,,
Pseudo,1518,398-451,527-585,,,,
Pseudo,1519,375-479,,,,,
Pseudo,1520,273-336,424-462,,,,
Pseudo,1521,,,,,,
Pseudo,1522,317-417,523-613,,,,
Pseudo,1523,354-476,557-613,,,,
Pseudo,1524,368-466,,,,,
Pseudo,1525,423-498,,,,,
Pseudo,1526,10-94,138-227,481-517,,,
Pseudo,1527,177-283,,,,,
Pseudo,1528,346-429,,,,,
Pseudo,1529,373-430,,,,,
Pseudo,1530,399-504,,,,,
Pseudo,1531,272-322,331-445,481-520,,,
Pseudo,1532,430-502,,,,,
Pseudo,1533,,,,,,
Pseudo,1534,287-380,,,,,
Pseudo,1535,368-464,,,,,
Pseudo,1536,422-478,536-604,,,,
Pseudo,1537,478-543,,,,,
Pseudo,1538,339-428,,,,,
Pseudo,1539,464-501,,,,,
Pseudo,1540,416-496,,,,,
Pseudo,1541,451-559,,,,,
Pseudo,1542,256-582,,,,,
Pseudo,1543,60-105,,,,,
Pseudo,1544,82-144,287-464,,,,
Pseudo,1545,410-513,,,,,
Pseudo,1546,415-461,,,,,
Pseudo,1547,526-613,,,,,
Pseudo,1548,34-98,,,,,
Pseudo,1549,0-48,52-146,419-520,536-610,,
Pseudo,1550,360-455,,,,,
Pseudo,1551,366-476,,,,,
Pseudo,1552,321-400,,,,,
Pseudo,1553,347-460,,,,,
Pseudo,1554,547-613,,,,,
Pseudo,1555,322-388,440-481,,,,
Pseudo,1556,218-319,424-506,,,,
Pseudo,1557,311-425,453-565,,,,
Pseudo,1558,421-578,,,,,
Pseudo,1559,248-314,418-468,480-534,,,
Pseudo,1560,151-262,341-412,,,,
Pseudo,1561,514-578,,,,,
Pseudo,1562,410-449,513-568,,,,
Pseudo,1563,435-478,,,,,
Pseudo,1564,433-526,,,,,
Pseudo,1565,0-36,218-279,526-586,,,
Pseudo,1566,231-282,293-495,,,,
Pseudo,1567,222-328,,,,,
Pseudo,1568,286-323,327-390,410-499,,,
Pseudo,1569,425-485,,,,,
Pseudo,1570,396-583,,,,,
Pseudo,1571,372-431,,,,,
Pseudo,1572,180-437,441-486,,,,
Pseudo,1573,406-442,,,,,
Pseudo,1574,357-435,488-561,,,,
Pseudo,1575,244-285,361-428,,,,
Pseudo,1576,142-199,432-552,561-613,,,
Pseudo,1577,407-479,530-583,,,,
Pseudo,1578,353-439,,,,,
Pseudo,1579,124-164,533-613,,,,
Pseudo,1580,359-515,,,,,
Pseudo,1581,,,,,,
Pseudo,1582,337-387,404-496,,,,
Pseudo,1583,0-76,,,,,
Pseudo,1584,348-453,,,,,
Pseudo,1585,403-513,,,,,
Pseudo,1586,439-492,,,,,
Pseudo,1587,336-494,,,,,
Pseudo,1588,116-275,,,,,
Pseudo,1589,388-460,,,,,
Pseudo,1590,418-527,,,,,
Pseudo,1591,374-419,486-564,,,,
Pseudo,1592,467-549,,,,,
Pseudo,1593,247-339,408-470,,,,
Pseudo,1594,285-370,490-558,,,,
Pseudo,1595,462-516,,,,,
Pseudo,1596,131-273,410-462,468-572,,,
Pseudo,1597,31-189,295-432,465-548,,,
Pseudo,1598,383-441,445-490,,,,
Pseudo,1599,558-613,,,,,
Pseudo,1600,361-474,,,,,
Pseudo,1601,486-581,,,,,
Pseudo,1602,48-92,162-305,400-455,,,
Pseudo,1603,16-85,402-496,,,,
Pseudo,1604,108-169,248-404,,,,
Pseudo,1605,394-565,,,,,
Pseudo,1606,355-497,,,,,
Pseudo,1607,352-489,,,,,
Pseudo,1608,28-111,251-317,540-613,,,
Pseudo,1609,188-263,,,,,
Pseudo,1610,154-234,268-334,390-478,509-588,,
Pseudo,1611,401-438,,,,,
Pseudo,1612,361-431,,,,,
Pseudo,1613,368-448,450-543,,,,
Pseudo,1614,412-515,,,,,
Pseudo,1615,348-412,418-479,,,,
Pseudo,1616,459-533,,,,,
Pseudo,1617,246-432,,,,,
Pseudo,1618,415-494,,,,,
Pseudo,1619,373-438,,,,,
Pseudo,1620,383-463,,,,,
Pseudo,1621,,,,,,
Pseudo,1622,424-492,,,,,
Pseudo,1623,266-326,,,,,
Pseudo,1624,20-158,405-479,,,,
Pseudo,1625,312-418,,,,,
Pseudo,1626,355-395,,,,,
Pseudo,1627,451-514,,,,,
Pseudo,1628,362-421,,,,,
Pseudo,1629,383-469,,,,,
Pseudo,1630,281-318,402-508,,,,
Pseudo,1631,0-53,364-504,540-611,,,
Pseudo,1632,522-560,,,,,
Pseudo,1633,212-468,522-613,,,,
Pseudo,1634,0-40,306-377,470-554,,,
Pseudo,1635,84-145,,,,,
Pseudo,1636,,,,,,
Pseudo,1637,232-503,,,,,
Pseudo,1638,559-613,,,,,
Pseudo,1639,270-390,,,,,
Pseudo,1640,0-78,172-337,436-503,,,
Pseudo,1641,546-582,,,,,
Pseudo,1642,288-524,,,,,
Pseudo,1643,335-415,577-613,,,,
Pseudo,1644,497-556,,,,,
Pseudo,1645,84-125,461-529,537-603,,,
Pseudo,1646,433-533,,,,,
Pseudo,1647,453-508,,,,,
Pseudo,1648,194-240,,,,,
Pseudo,1649,399-528,,,,,
Pseudo,1650,271-327,,,,,
Pseudo,1651,,,,,,
Pseudo,1652,145-197,392-479,,,,
Pseudo,1653,303-467,,,,,
Pseudo,1654,374-470,,,,,
Pseudo,1655,311-519,,,,,
Pseudo,1656,124-188,,,,,
Pseudo,1657,228-361,,,,,
Pseudo,1658,443-493,,,,,
Pseudo,1659,75-165,413-451,470-521,,,
Pseudo,1660,499-553,,,,,
Pseudo,1661,43-119,188-228,275-327,,,
Pseudo,1662,317-355,498-535,545-596,,,
Pseudo,1663,460-576,,,,,
Pseudo,1664,350-420,433-474,,,,
Pseudo,1665,423-508,546-598,,,,
Pseudo,1666,314-356,462-515,,,,
Pseudo,1667,140-194,293-339,436-530,,,
Pseudo,1668,341-433,564-613,,,,
Pseudo,1669,383-496,,,,,
Pseudo,1670,337-415,,,,,
Pseudo,1671,351-559,,,,,
Pseudo,1672,460-535,,,,,
Pseudo,1673,14-68,425-474,527-613,,,
Pseudo,1674,306-445,,,,,
Pseudo,1675,0-46,302-367,457-501,,,
Pseudo,1676,309-355,378-460,483-589,,,
Pseudo,1677,179-259,388-453,,,,
Pseudo,1678,413-586,,,,,
Pseudo,1679,155-251,383-445,,,,
Pseudo,1680,242-380,399-487,,,,
Pseudo,1681,404-500,,,,,
Pseudo,1682,339-409,419-492,571-613,,,
Pseudo,1683,339-493,,,,,
Pseudo,1684,375-468,520-613,,,,
Pseudo,1685,425-471,,,,,
Pseudo,1686,319-372,420-490,,,,
Pseudo,1687,402-454,517-566,,,,
Pseudo,1688,365-424,,,,,
Pseudo,1689,,,,,,
Pseudo,1690,,,,,,
Pseudo,1691,419-486,,,,,
Pseudo,1692,254-314,420-510,,,,
Pseudo,1693,178-242,352-470,,,,
Pseudo,1694,278-348,529-571,,,,
Pseudo,1695,413-466,,,,,
Pseudo,1696,363-565,,,,,
Pseudo,1697,334-398,488-581,,,,
Pseudo,1698,401-499,,,,,
Pseudo,1699,408-447,453-492,528-567,,,
Pseudo,1700,,,,,,
Pseudo,1701,337-450,,,,,
Pseudo,1702,306-438,,,,,
Pseudo,1703,74-118,,,,,
Pseudo,1704,432-494,498-613,,,,
Pseudo,1705,445-574,,,,,
Pseudo,1706,375-478,,,,,
Pseudo,1707,437-480,,,,,
Pseudo,1708,366-470,,,,,
Pseudo,1709,22-223,281-422,,,,
Pseudo,1710,201-249,,,,,
Pseudo,1711,106-158,,,,,
Pseudo,1712,316-388,468-539,564-601,,,
Pseudo,1713,415-467,474-556,,,,
Pseudo,1714,247-365,412-511,,,,
Pseudo,1715,,,,,,
Pseudo,1716,391-442,,,,,
Pseudo,1717,437-548,,,,,
Pseudo,1718,413-493,,,,,
Pseudo,1719,302-371,403-514,,,,
Pseudo,1720,378-436,,,,,
Pseudo,1721,55-163,434-527,533-574,,,
Pseudo,1722,317-353,401-559,,,,
Pseudo,1723,251-481,,,,,
Pseudo,1724,,,,,,
Pseudo,1725,412-481,,,,,
Pseudo,1726,364-445,459-524,,,,
Pseudo,1727,29-106,408-513,,,,
Pseudo,1728,514-613,,,,,
Pseudo,1729,,,,,,
Pseudo,1730,202-284,,,,,
Pseudo,1731,432-485,,,,,
Pseudo,1732,402-462,,,,,
Pseudo,1733,346-479,,,,,
Pseudo,1734,499-535,,,,,
Pseudo,1735,82-148,413-479,,,,
Pseudo,1736,303-491,,,,,
Pseudo,1737,23-62,181-238,,,,
Pseudo,1738,488-541,,,,,
Pseudo,1739,409-503,,,,,
Pseudo,1740,,,,,,
Pseudo,1741,,,,,,
Pseudo,1742,404-491,,,,,
Pseudo,1743,289-506,,,,,
Pseudo,1744,277-383,571-613,,,,
Pseudo,1745,190-262,,,,,
Pseudo,1746,298-341,472-535,,,,
Pseudo,1747,,,,,,
Pseudo,1748,313-401,,,,,
Pseudo,1749,380-566,,,,,
Pseudo,1750,95-203,495-533,,,,
Pseudo,1751,392-551,,,,,
Pseudo,1752,0-63,356-395,401-477,,,
